filename,time_abs(%Y-%m-%dT%H:%M:%S.%f),time_rel(sec)
xa.s12.00.mhz.1970-01-19HR00_evid00002.csv,1970-01-19T20:22:24.514057,73343.84905660378
xa.s12.00.mhz.1970-01-19HR00_evid00002.csv,1970-01-19T20:29:54.476321,73793.81132075471
xa.s12.00.mhz.1970-01-19HR00_evid00002.csv,1970-01-19T20:37:24.438585,74243.77358490566
xa.s12.00.mhz.1970-03-25HR00_evid00003.csv,1970-03-25T03:37:29.345660,13048.90566037736
xa.s12.00.mhz.1970-03-25HR00_evid00003.csv,1970-03-25T03:44:59.307925,13498.867924528302
xa.s12.00.mhz.1970-03-25HR00_evid00003.csv,1970-03-25T03:59:59.232453,14398.792452830188
xa.s12.00.mhz.1970-03-25HR00_evid00003.csv,1970-03-25T04:37:29.043774,16648.603773584906
xa.s12.00.mhz.1970-03-25HR00_evid00003.csv,1970-03-25T08:14:57.949434,29697.509433962263
xa.s12.00.mhz.1970-03-25HR00_evid00003.csv,1970-03-25T12:29:56.666415,44996.22641509434
xa.s12.00.mhz.1970-03-25HR00_evid00003.csv,1970-03-25T12:37:26.628679,45446.188679245286
xa.s12.00.mhz.1970-03-25HR00_evid00003.csv,1970-03-25T14:14:56.138113,51295.698113207545
xa.s12.00.mhz.1970-03-25HR00_evid00003.csv,1970-03-25T21:07:24.062642,76043.62264150943
xa.s12.00.mhz.1970-03-25HR00_evid00003.csv,1970-03-25T21:14:54.024906,76493.58490566038
xa.s12.00.mhz.1970-03-26HR00_evid00004.csv,1970-03-26T06:29:58.602736,23398.03773584905
xa.s12.00.mhz.1970-03-26HR00_evid00004.csv,1970-03-26T06:37:28.565000,23848
xa.s12.00.mhz.1970-03-26HR00_evid00004.csv,1970-03-26T09:37:27.659340,34647.09433962264
xa.s12.00.mhz.1970-03-26HR00_evid00004.csv,1970-03-26T09:44:57.621604,35097.056603773584
xa.s12.00.mhz.1970-03-26HR00_evid00004.csv,1970-03-26T20:44:54.300849,74693.73585
xa.s12.00.mhz.1970-03-26HR00_evid00004.csv,1970-03-26T21:29:54.074434,77393.50943396226
xa.s12.00.mhz.1970-03-26HR00_evid00004.csv,1970-03-26T21:37:24.036698,77843.47169811321
xa.s12.00.mhz.1970-04-25HR00_evid00006.csv,1970-04-25T01:07:29.856377,4049.660377
xa.s12.00.mhz.1970-04-25HR00_evid00006.csv,1970-04-25T01:29:59.743170,5399.547169811321
xa.s12.00.mhz.1970-04-25HR00_evid00006.csv,1970-04-25T01:37:29.705434,5849.509433962264
xa.s12.00.mhz.1970-04-25HR00_evid00006.csv,1970-04-25T01:44:59.667698,6299.471698113208
xa.s12.00.mhz.1970-04-25HR00_evid00006.csv,1970-04-25T02:07:29.554491,7649.358490566037
xa.s12.00.mhz.1970-04-25HR00_evid00006.csv,1970-04-25T03:44:59.063925,13498.867924528302
xa.s12.00.mhz.1970-04-26HR00_evid00007.csv,1970-04-26T14:22:26.320377,51745.660377358494
xa.s12.00.mhz.1970-04-26HR00_evid00007.csv,1970-04-26T14:37:26.244906,52645.58490566038
xa.s12.00.mhz.1970-04-26HR00_evid00007.csv,1970-04-26T14:44:56.207170,53095.54716981132
xa.s12.00.mhz.1970-04-26HR00_evid00007.csv,1970-04-26T15:37:25.943019,56245.28301886792
xa.s12.00.mhz.1970-06-15HR00_evid00008.csv,1970-06-15T18:52:24.811887,67944.30188679245
xa.s12.00.mhz.1970-06-15HR00_evid00008.csv,1970-06-15T19:29:54.623208,70194.11320754717
xa.s12.00.mhz.1970-06-15HR00_evid00008.csv,1970-06-15T19:44:54.547736,71094.03773584905
xa.s12.00.mhz.1970-06-26HR00_evid00009.csv,1970-06-26T13:07:26.153736,47246.03773584906
xa.s12.00.mhz.1970-06-26HR00_evid00009.csv,1970-06-26T13:14:56.116000,47696
xa.s12.00.mhz.1970-06-26HR00_evid00009.csv,1970-06-26T13:22:26.078264,48145.96226415094
xa.s12.00.mhz.1970-06-26HR00_evid00009.csv,1970-06-26T13:29:56.040528,48595.92452830189
xa.s12.00.mhz.1970-06-26HR00_evid00009.csv,1970-06-26T14:07:25.851849,50845.73584905661
xa.s12.00.mhz.1970-06-26HR00_evid00009.csv,1970-06-26T14:14:55.814113,51295.698113207545
xa.s12.00.mhz.1970-06-26HR00_evid00009.csv,1970-06-26T14:29:55.738642,52195.62264150944
xa.s12.00.mhz.1970-06-26HR00_evid00009.csv,1970-06-26T14:37:25.700906,52645.58490566038
xa.s12.00.mhz.1970-06-26HR00_evid00009.csv,1970-06-26T15:59:55.285811,57595.16981132075
xa.s12.00.mhz.1970-06-26HR00_evid00009.csv,1970-06-26T16:07:25.248075,58045.13208
xa.s12.00.mhz.1970-06-26HR00_evid00009.csv,1970-06-26T16:22:25.172604,58945.056603773584
xa.s12.00.mhz.1970-06-26HR00_evid00009.csv,1970-06-26T16:29:55.134868,59395.018867924526
xa.s12.00.mhz.1970-06-26HR00_evid00009.csv,1970-06-26T16:37:25.097132,59844.981132075474
xa.s12.00.mhz.1970-06-26HR00_evid00009.csv,1970-06-26T19:52:24.116000,71544
xa.s12.00.mhz.1970-06-26HR00_evid00009.csv,1970-06-26T20:14:54.002792,72893.88679245283
xa.s12.00.mhz.1970-06-26HR00_evid00009.csv,1970-06-26T20:22:23.965057,73343.84905660378
xa.s12.00.mhz.1970-06-26HR00_evid00009.csv,1970-06-26T20:29:53.927321,73793.81132075471
xa.s12.00.mhz.1970-06-26HR00_evid00009.csv,1970-06-26T20:37:23.889585,74243.77358490566
xa.s12.00.mhz.1970-06-26HR00_evid00009.csv,1970-06-26T20:44:53.851849,74693.73585
xa.s12.00.mhz.1970-06-26HR00_evid00009.csv,1970-06-26T20:52:23.814113,75143.69811320755
xa.s12.00.mhz.1970-06-26HR00_evid00009.csv,1970-06-26T21:07:23.738642,76043.62264150943
xa.s12.00.mhz.1970-06-26HR00_evid00009.csv,1970-06-26T22:52:23.210340,82343.09433962264
xa.s12.00.mhz.1970-07-20HR00_evid00010.csv,1970-07-20T04:52:29.015302,17548.528301886792
xa.s12.00.mhz.1970-07-20HR00_evid00010.csv,1970-07-20T04:59:58.977566,17998.490566037737
xa.s12.00.mhz.1970-07-20HR00_evid00010.csv,1970-07-20T05:07:28.939830,18448.45283018868
xa.s12.00.mhz.1970-07-20HR00_evid00010.csv,1970-07-20T05:22:28.864358,19348.377358490565
xa.s12.00.mhz.1970-07-20HR00_evid00010.csv,1970-07-20T05:37:28.788887,20248.30188679245
xa.s12.00.mhz.1970-07-20HR00_evid00010.csv,1970-07-20T05:44:58.751151,20698.26415
xa.s12.00.mhz.1970-07-20HR00_evid00010.csv,1970-07-20T12:07:26.826623,43646.33962264151
xa.s12.00.mhz.1970-07-20HR00_evid00010.csv,1970-07-20T21:37:23.958698,77843.47169811321
xa.s12.00.mhz.1970-07-20HR00_evid00011.csv,1970-07-20T04:52:29.015302,17548.528301886792
xa.s12.00.mhz.1970-07-20HR00_evid00011.csv,1970-07-20T04:59:58.977566,17998.490566037737
xa.s12.00.mhz.1970-07-20HR00_evid00011.csv,1970-07-20T05:07:28.939830,18448.45283018868
xa.s12.00.mhz.1970-07-20HR00_evid00011.csv,1970-07-20T05:22:28.864358,19348.377358490565
xa.s12.00.mhz.1970-07-20HR00_evid00011.csv,1970-07-20T05:37:28.788887,20248.30188679245
xa.s12.00.mhz.1970-07-20HR00_evid00011.csv,1970-07-20T05:44:58.751151,20698.26415
xa.s12.00.mhz.1970-07-20HR00_evid00011.csv,1970-07-20T12:07:26.826623,43646.33962264151
xa.s12.00.mhz.1970-07-20HR00_evid00011.csv,1970-07-20T21:37:23.958698,77843.47169811321
xa.s12.00.mhz.1970-09-26HR00_evid00013.csv,1970-09-26T06:44:58.111264,24297.962264150945
xa.s12.00.mhz.1970-09-26HR00_evid00013.csv,1970-09-26T06:52:28.073528,24747.924528301886
xa.s12.00.mhz.1970-09-26HR00_evid00013.csv,1970-09-26T14:07:25.884849,50845.73584905661
xa.s12.00.mhz.1970-09-26HR00_evid00013.csv,1970-09-26T14:14:55.847113,51295.698113207545
xa.s12.00.mhz.1970-09-26HR00_evid00013.csv,1970-09-26T20:07:24.073528,72443.92452830188
xa.s12.00.mhz.1970-09-26HR00_evid00013.csv,1970-09-26T20:14:54.035792,72893.88679245283
xa.s12.00.mhz.1970-09-26HR00_evid00013.csv,1970-09-26T20:37:23.922585,74243.77358490566
xa.s12.00.mhz.1970-09-26HR00_evid00013.csv,1970-09-26T21:07:23.771642,76043.62264150943
xa.s12.00.mhz.1970-09-26HR00_evid00013.csv,1970-09-26T21:14:53.733906,76493.58490566038
xa.s12.00.mhz.1970-10-24HR00_evid00014.csv,1970-10-24T01:00:00.202113,3599.698113207547
xa.s12.00.mhz.1970-10-24HR00_evid00014.csv,1970-10-24T10:29:57.334189,37796.83018867925
xa.s12.00.mhz.1970-10-24HR00_evid00014.csv,1970-10-24T10:37:27.296453,38246.79245283019
xa.s12.00.mhz.1970-10-24HR00_evid00014.csv,1970-10-24T11:59:56.881358,43196.377358490565
xa.s12.00.mhz.1970-10-24HR00_evid00014.csv,1970-10-24T12:07:26.843623,43646.33962264151
xa.s12.00.mhz.1970-10-24HR00_evid00014.csv,1970-10-24T19:52:24.504000,71544
xa.s12.00.mhz.1970-10-24HR00_evid00014.csv,1970-10-24T19:59:54.466264,71993.96226415095
xa.s12.00.mhz.1970-11-12HR00_evid00015.csv,1970-11-12T12:44:56.850943,45896.15094339623
xa.s12.00.mhz.1970-11-12HR00_evid00015.csv,1970-11-12T12:52:26.813208,46346.11320754717
xa.s12.00.mhz.1970-11-12HR00_evid00015.csv,1970-11-12T12:59:56.775472,46796.07547169811
xa.s12.00.mhz.1970-11-12HR00_evid00015.csv,1970-11-12T13:07:26.737736,47246.03773584906
xa.s12.00.mhz.1970-11-12HR00_evid00015.csv,1970-11-12T13:14:56.700000,47696
xa.s12.00.mhz.1970-11-12HR00_evid00015.csv,1970-11-12T13:22:26.662264,48145.96226415094
xa.s12.00.mhz.1970-11-12HR00_evid00015.csv,1970-11-12T13:29:56.624528,48595.92452830189
xa.s12.00.mhz.1970-11-12HR00_evid00015.csv,1970-11-12T14:44:56.247170,53095.54716981132
xa.s12.00.mhz.1970-11-12HR00_evid00015.csv,1970-11-12T14:52:26.209434,53545.50943396227
xa.s12.00.mhz.1970-11-12HR00_evid00015.csv,1970-11-12T14:59:56.171698,53995.47169811321
xa.s12.00.mhz.1970-12-11HR00_evid00017.csv,1970-12-11T01:07:29.986377,4049.660377
xa.s12.00.mhz.1970-12-11HR00_evid00017.csv,1970-12-11T01:14:59.948642,4499.622641509434
xa.s12.00.mhz.1970-12-11HR00_evid00017.csv,1970-12-11T03:59:59.118453,14398.792452830188
xa.s12.00.mhz.1970-12-11HR00_evid00017.csv,1970-12-11T04:07:29.080717,14848.754716981131
xa.s12.00.mhz.1970-12-11HR00_evid00017.csv,1970-12-11T07:37:28.024113,27447.69811320755
xa.s12.00.mhz.1970-12-11HR00_evid00017.csv,1970-12-11T07:59:57.910906,28797.584905660377
xa.s12.00.mhz.1970-12-11HR00_evid00017.csv,1970-12-11T10:59:57.005245,39596.67924528302
xa.s12.00.mhz.1970-12-11HR00_evid00017.csv,1970-12-11T19:29:54.439208,70194.11320754717
xa.s12.00.mhz.1970-12-11HR00_evid00017.csv,1970-12-11T20:37:24.099585,74243.77358490566
xa.s12.00.mhz.1970-12-11HR00_evid00017.csv,1970-12-11T21:22:23.873170,76943.54716981133
xa.s12.00.mhz.1970-12-11HR00_evid00017.csv,1970-12-11T21:29:53.835434,77393.50943396226
xa.s12.00.mhz.1970-12-11HR00_evid00017.csv,1970-12-11T23:07:23.344868,83243.01886792453
xa.s12.00.mhz.1970-12-11HR00_evid00017.csv,1970-12-11T23:14:53.307132,83692.98113207547
xa.s12.00.mhz.1970-12-27HR00_evid00019.csv,1970-12-27T06:29:58.554736,23398.03773584905
xa.s12.00.mhz.1970-12-27HR00_evid00019.csv,1970-12-27T20:22:24.366057,73343.84905660378
xa.s12.00.mhz.1970-12-27HR00_evid00019.csv,1970-12-27T20:29:54.328321,73793.81132075471
xa.s12.00.mhz.1970-12-27HR00_evid00019.csv,1970-12-27T20:37:24.290585,74243.77358490566
xa.s12.00.mhz.1970-12-27HR00_evid00019.csv,1970-12-27T20:52:24.215113,75143.69811320755
xa.s12.00.mhz.1970-12-27HR00_evid00019.csv,1970-12-27T21:07:24.139642,76043.62264150943
xa.s12.00.mhz.1970-12-31HR00_evid00021.csv,1970-12-31T03:14:59.357868,11699.018867924528
xa.s12.00.mhz.1970-12-31HR00_evid00021.csv,1970-12-31T15:22:25.697491,55345.35849056604
xa.s12.00.mhz.1970-12-31HR00_evid00021.csv,1970-12-31T15:29:55.659755,55795.32075471698
xa.s12.00.mhz.1971-01-15HR00_evid00022.csv,1971-01-15T12:44:56.408943,45896.15094339623
xa.s12.00.mhz.1971-01-15HR00_evid00022.csv,1971-01-15T12:52:26.371208,46346.11320754717
xa.s12.00.mhz.1971-01-15HR00_evid00022.csv,1971-01-15T13:07:26.295736,47246.03773584906
xa.s12.00.mhz.1971-01-15HR00_evid00022.csv,1971-01-15T13:14:56.258000,47696
xa.s12.00.mhz.1971-01-15HR00_evid00022.csv,1971-01-15T14:14:55.956113,51295.698113207545
xa.s12.00.mhz.1971-01-28HR00_evid00023.csv,1971-01-28T00:22:30.120792,1349.8867924528302
xa.s12.00.mhz.1971-01-28HR00_evid00023.csv,1971-01-28T00:30:00.083057,1799.8490566037735
xa.s12.00.mhz.1971-01-28HR00_evid00023.csv,1971-01-28T02:07:29.592491,7649.358490566037
xa.s12.00.mhz.1971-01-28HR00_evid00023.csv,1971-01-28T06:22:28.309472,22948.075471698117
xa.s12.00.mhz.1971-01-28HR00_evid00023.csv,1971-01-28T06:29:58.271736,23398.03773584905
xa.s12.00.mhz.1971-01-28HR00_evid00023.csv,1971-01-28T11:44:56.686830,42296.45283018868
xa.s12.00.mhz.1971-01-28HR00_evid00023.csv,1971-01-28T11:52:26.649094,42746.41509433962
xa.s12.00.mhz.1971-01-29HR00_evid00024.csv,1971-01-29T10:37:26.986453,38246.79245283019
xa.s12.00.mhz.1971-01-29HR00_evid00024.csv,1971-01-29T10:44:56.948717,38696.75471698113
xa.s12.00.mhz.1971-01-29HR00_evid00024.csv,1971-01-29T10:52:26.910981,39146.71698113208
xa.s12.00.mhz.1971-01-29HR00_evid00024.csv,1971-01-29T17:22:24.948717,62544.75471698113
xa.s12.00.mhz.1971-01-29HR00_evid00024.csv,1971-01-29T17:29:54.910981,62994.71698113208
xa.s12.00.mhz.1971-01-29HR00_evid00024.csv,1971-01-29T18:14:54.684566,65694.49056603774
xa.s12.00.mhz.1971-01-29HR00_evid00024.csv,1971-01-29T18:37:24.571358,67044.37735849057
xa.s12.00.mhz.1971-02-09HR00_evid00026.csv,1971-02-09T03:52:29.009189,13948.830188679243
xa.s12.00.mhz.1971-02-09HR00_evid00026.csv,1971-02-09T16:37:25.160132,59844.981132075474
xa.s12.00.mhz.1971-03-25HR00_evid00028.csv,1971-03-25T15:29:55.471755,55795.32075471698
xa.s12.00.mhz.1971-03-25HR00_evid00028.csv,1971-03-25T15:44:55.396283,56695.24528301887
xa.s12.00.mhz.1971-03-25HR00_evid00028.csv,1971-03-25T15:52:25.358547,57145.20754716981
xa.s12.00.mhz.1971-04-13HR02_evid00029.csv,1971-04-13T03:57:48.612704,4499.622641509434
xa.s12.00.mhz.1971-04-13HR02_evid00029.csv,1971-04-13T04:05:18.574968,4949.584905660377
xa.s12.00.mhz.1971-04-13HR02_evid00029.csv,1971-04-13T12:42:45.971194,35996.981132075474
xa.s12.00.mhz.1971-04-13HR02_evid00029.csv,1971-04-13T12:57:45.895722,36896.90566037736
xa.s12.00.mhz.1971-04-13HR02_evid00029.csv,1971-04-13T13:05:15.857987,37346.86792
xa.s12.00.mhz.1971-04-13HR02_evid00029.csv,1971-04-13T13:12:45.820251,37796.83018867925
xa.s12.00.mhz.1971-04-13HR02_evid00029.csv,1971-04-13T13:35:15.707043,39146.71698113208
xa.s12.00.mhz.1971-04-13HR02_evid00029.csv,1971-04-13T13:50:15.631571,40046.64150943396
xa.s12.00.mhz.1971-04-13HR02_evid00029.csv,1971-04-13T13:57:45.593836,40496.60377
xa.s12.00.mhz.1971-04-13HR02_evid00029.csv,1971-04-13T14:20:15.480628,41846.49056603773
xa.s12.00.mhz.1971-04-13HR02_evid00029.csv,1971-04-13T15:20:15.178741,45446.188679245286
xa.s12.00.mhz.1971-04-13HR02_evid00029.csv,1971-04-13T15:27:45.141005,45896.15094339623
xa.s12.00.mhz.1971-04-13HR02_evid00029.csv,1971-04-13T16:05:14.952326,48145.96226415094
xa.s12.00.mhz.1971-04-13HR02_evid00029.csv,1971-04-13T19:12:44.008930,59395.018867924526
xa.s12.00.mhz.1971-04-13HR02_evid00029.csv,1971-04-13T19:20:13.971194,59844.981132075474
xa.s12.00.mhz.1971-04-13HR02_evid00029.csv,1971-04-13T20:20:13.669307,63444.67924528302
xa.s12.00.mhz.1971-04-13HR02_evid00029.csv,1971-04-13T20:27:43.631571,63894.64150943396
xa.s12.00.mhz.1971-04-17HR00_evid00030.csv,1971-04-17T03:37:29.292660,13048.90566037736
xa.s12.00.mhz.1971-04-17HR00_evid00030.csv,1971-04-17T03:44:59.254925,13498.867924528302
xa.s12.00.mhz.1971-04-17HR00_evid00030.csv,1971-04-17T04:07:29.141717,14848.754716981131
xa.s12.00.mhz.1971-04-17HR00_evid00030.csv,1971-04-17T04:14:59.103981,15298.716981132076
xa.s12.00.mhz.1971-04-17HR00_evid00030.csv,1971-04-17T05:29:58.726623,19798.33962264151
xa.s12.00.mhz.1971-04-17HR00_evid00030.csv,1971-04-17T06:52:28.311528,24747.924528301886
xa.s12.00.mhz.1971-04-17HR00_evid00030.csv,1971-04-17T07:07:28.236057,25647.849056603773
xa.s12.00.mhz.1971-04-17HR00_evid00030.csv,1971-04-17T07:22:28.160585,26547.77358490566
xa.s12.00.mhz.1971-04-17HR00_evid00030.csv,1971-04-17T07:29:58.122849,26997.735849056604
xa.s12.00.mhz.1971-04-17HR00_evid00030.csv,1971-04-17T07:37:28.085113,27447.69811320755
xa.s12.00.mhz.1971-04-17HR00_evid00030.csv,1971-04-17T08:07:27.934170,29247.54716981132
xa.s12.00.mhz.1971-04-17HR00_evid00030.csv,1971-04-17T16:44:55.330396,60294.943396226416
xa.s12.00.mhz.1971-04-17HR00_evid00030.csv,1971-04-17T17:14:55.179453,62094.79245283019
xa.s12.00.mhz.1971-04-17HR00_evid00030.csv,1971-04-17T17:22:25.141717,62544.75471698113
xa.s12.00.mhz.1971-05-12HR00_evid00031.csv,1971-05-12T07:52:28.334642,28347.622641509435
xa.s12.00.mhz.1971-05-12HR00_evid00031.csv,1971-05-12T08:22:28.183698,30147.471698113208
xa.s12.00.mhz.1971-05-12HR00_evid00031.csv,1971-05-12T09:44:57.768604,35097.056603773584
xa.s12.00.mhz.1971-05-12HR00_evid00031.csv,1971-05-12T09:59:57.693132,35996.981132075474
xa.s12.00.mhz.1971-05-12HR00_evid00031.csv,1971-05-12T10:14:57.617660,36896.90566037736
xa.s12.00.mhz.1971-05-12HR00_evid00031.csv,1971-05-12T19:29:54.825208,70194.11320754717
xa.s12.00.mhz.1971-05-12HR00_evid00031.csv,1971-05-12T19:37:24.787472,70644.07547169812
xa.s12.00.mhz.1971-05-12HR00_evid00032.csv,1971-05-12T07:52:28.334642,28347.622641509435
xa.s12.00.mhz.1971-05-12HR00_evid00032.csv,1971-05-12T08:22:28.183698,30147.471698113208
xa.s12.00.mhz.1971-05-12HR00_evid00032.csv,1971-05-12T09:44:57.768604,35097.056603773584
xa.s12.00.mhz.1971-05-12HR00_evid00032.csv,1971-05-12T09:59:57.693132,35996.981132075474
xa.s12.00.mhz.1971-05-12HR00_evid00032.csv,1971-05-12T10:14:57.617660,36896.90566037736
xa.s12.00.mhz.1971-05-12HR00_evid00032.csv,1971-05-12T19:29:54.825208,70194.11320754717
xa.s12.00.mhz.1971-05-12HR00_evid00032.csv,1971-05-12T19:37:24.787472,70644.07547169812
xa.s12.00.mhz.1971-05-23HR00_evid00034.csv,1971-05-23T11:29:57.030302,41396.52830188679
xa.s12.00.mhz.1971-05-23HR00_evid00034.csv,1971-05-23T11:37:26.992566,41846.49056603773
xa.s12.00.mhz.1971-05-23HR00_evid00034.csv,1971-05-23T11:44:56.954830,42296.45283018868
xa.s12.00.mhz.1971-05-23HR00_evid00034.csv,1971-05-23T22:07:23.822755,79643.32075471699
xa.s12.00.mhz.1971-05-23HR00_evid00034.csv,1971-05-23T22:22:23.747283,80543.24528301887
xa.s12.00.mhz.1971-05-23HR00_evid00034.csv,1971-05-23T22:37:23.671811,81443.16981132075
xa.s12.00.mhz.1971-05-23HR00_evid00034.csv,1971-05-23T22:44:53.634075,81893.13208
xa.s12.00.mhz.1971-05-23HR00_evid00034.csv,1971-05-23T22:59:53.558604,82793.05660377358
xa.s12.00.mhz.1971-05-23HR00_evid00034.csv,1971-05-23T23:07:23.520868,83243.01886792453
xa.s12.00.mhz.1971-05-23HR00_evid00034.csv,1971-05-23T23:14:53.483132,83692.98113207547
xa.s12.00.mhz.1971-05-23HR00_evid00034.csv,1971-05-23T23:29:53.407660,84592.90566037736
xa.s12.00.mhz.1971-06-12HR00_evid00035.csv,1971-06-12T03:29:59.472396,12598.943396226416
xa.s12.00.mhz.1971-06-12HR00_evid00035.csv,1971-06-12T05:29:58.868623,19798.33962264151
xa.s12.00.mhz.1971-06-12HR00_evid00035.csv,1971-06-12T06:29:58.566736,23398.03773584905
xa.s12.00.mhz.1971-06-12HR00_evid00035.csv,1971-06-12T07:44:58.189377,27897.66037735849
xa.s12.00.mhz.1971-06-12HR00_evid00035.csv,1971-06-12T07:52:28.151642,28347.622641509435
xa.s12.00.mhz.1971-06-12HR00_evid00035.csv,1971-06-12T10:37:27.321453,38246.79245283019
xa.s12.00.mhz.1971-06-12HR00_evid00035.csv,1971-06-12T10:59:57.208245,39596.67924528302
xa.s12.00.mhz.1971-06-12HR00_evid00035.csv,1971-06-12T11:14:57.132774,40496.60377
xa.s12.00.mhz.1971-06-12HR00_evid00035.csv,1971-06-12T11:22:27.095038,40946.56603773585
xa.s12.00.mhz.1971-06-12HR00_evid00035.csv,1971-06-12T11:29:57.057302,41396.52830188679
xa.s12.00.mhz.1971-06-12HR00_evid00035.csv,1971-06-12T11:44:56.981830,42296.45283018868
xa.s12.00.mhz.1971-06-12HR00_evid00035.csv,1971-06-12T12:07:26.868623,43646.33962264151
xa.s12.00.mhz.1971-06-12HR00_evid00035.csv,1971-06-12T12:14:56.830887,44096.301886792455
xa.s12.00.mhz.1971-06-12HR00_evid00035.csv,1971-06-12T12:29:56.755415,44996.22641509434
xa.s12.00.mhz.1971-06-12HR00_evid00035.csv,1971-06-12T12:37:26.717679,45446.188679245286
xa.s12.00.mhz.1971-06-12HR00_evid00035.csv,1971-06-12T12:59:56.604472,46796.07547169811
xa.s12.00.mhz.1971-06-12HR00_evid00035.csv,1971-06-12T13:14:56.529000,47696
xa.s12.00.mhz.1971-09-25HR00_evid00042.csv,1971-09-25T08:59:57.859019,32397.283018867925
xa.s12.00.mhz.1971-09-25HR00_evid00042.csv,1971-09-25T17:22:25.330717,62544.75471698113
xa.s12.00.mhz.1971-09-25HR00_evid00042.csv,1971-09-25T17:29:55.292981,62994.71698113208
xa.s12.00.mhz.1971-10-18HR00_evid00043.csv,1971-10-18T03:22:29.398132,12148.981132075472
xa.s12.00.mhz.1971-10-18HR00_evid00043.csv,1971-10-18T03:29:59.360396,12598.943396226416
xa.s12.00.mhz.1971-10-18HR00_evid00043.csv,1971-10-18T03:37:29.322660,13048.90566037736
xa.s12.00.mhz.1971-10-18HR00_evid00043.csv,1971-10-18T03:44:59.284925,13498.867924528302
xa.s12.00.mhz.1971-10-18HR00_evid00043.csv,1971-10-18T03:59:59.209453,14398.792452830188
xa.s12.00.mhz.1971-10-18HR00_evid00043.csv,1971-10-18T06:59:58.303792,25197.88679245283
xa.s12.00.mhz.1971-10-18HR00_evid00043.csv,1971-10-18T07:07:28.266057,25647.849056603773
xa.s12.00.mhz.1971-10-18HR00_evid00043.csv,1971-10-18T11:22:26.983038,40946.56603773585
xa.s12.00.mhz.1971-10-18HR00_evid00043.csv,1971-10-18T11:29:56.945302,41396.52830188679
xa.s12.00.mhz.1971-10-18HR00_evid00043.csv,1971-10-18T14:07:26.152849,50845.73584905661
xa.s12.00.mhz.1971-10-18HR00_evid00043.csv,1971-10-18T14:14:56.115113,51295.698113207545
xa.s12.00.mhz.1971-10-20HR00_evid00044.csv,1971-10-20T01:07:30.085377,4049.660377
xa.s12.00.mhz.1971-10-20HR00_evid00044.csv,1971-10-20T01:15:00.047642,4499.622641509434
xa.s12.00.mhz.1971-10-20HR00_evid00044.csv,1971-10-20T11:44:56.877830,42296.45283018868
xa.s12.00.mhz.1971-10-20HR00_evid00044.csv,1971-10-20T11:52:26.840094,42746.41509433962
xa.s12.00.mhz.1971-10-20HR00_evid00044.csv,1971-10-20T17:59:54.991038,64794.56603773585
xa.s12.00.mhz.1971-10-20HR00_evid00044.csv,1971-10-20T18:29:54.840094,66594.41509433962
xa.s12.00.mhz.1971-10-20HR00_evid00044.csv,1971-10-20T18:37:24.802358,67044.37735849057
xa.s12.00.mhz.1971-10-20HR00_evid00044.csv,1971-10-20T18:44:54.764623,67494.33962
xa.s12.00.mhz.1971-10-20HR00_evid00044.csv,1971-10-20T18:52:24.726887,67944.30188679245
xa.s12.00.mhz.1971-10-20HR00_evid00044.csv,1971-10-20T18:59:54.689151,68394.26415
xa.s12.00.mhz.1971-10-20HR00_evid00044.csv,1971-10-20T19:07:24.651415,68844.22641509434
xa.s12.00.mhz.1971-10-20HR00_evid00044.csv,1971-10-20T21:14:54.009906,76493.58490566038
xa.s12.00.mhz.1971-10-20HR00_evid00044.csv,1971-10-20T21:22:23.972170,76943.54716981133
xa.s12.00.mhz.1971-10-31HR00_evid00045.csv,1971-10-31T05:44:58.684151,20698.26415
