time_abs(%Y-%m-%dT%H:%M:%S.%f) (duplicates in both files),time_abs(%Y-%m-%dT%H:%M:%S.%f) (unique in both files),time_abs(%Y-%m-%dT%H:%M:%S.%f) (duplicates only in LOF),time_abs(%Y-%m-%dT%H:%M:%S.%f) (duplicates only in Spectrogram),time_abs(%Y-%m-%dT%H:%M:%S.%f) (unique only in LOF),time_abs(%Y-%m-%dT%H:%M:%S.%f) (unique only in Spectrogram)
1970-01-19T20:00:00.665000 ~ 1970-01-19T20:32:11.532925,,1970-01-19T20:22:24.514057,,1971-01-29T18:37:24.571358,1973-01-18T23:11:06.322377
1970-03-25T03:00:00.440000 ~ 1970-03-25T03:42:21.421132,,1970-01-19T20:29:54.476321,,1970-09-26T14:14:55.847113,1974-06-25T00:34:42.335321
1970-03-26T20:44:54.300849 ~ 1970-03-26T20:25:59.508396,,1970-01-19T20:37:24.438585,,1970-10-24T19:52:24.504000,1971-11-14T04:26:52.677472
1970-04-25T01:07:29.856377 ~ 1970-04-25T01:25:58.837509,,1970-03-25T03:37:29.345660,,1972-03-12T07:59:58.001906,1973-06-05T02:53:19.696226
1970-04-26T14:22:26.320377 ~ 1970-04-26T14:36:02.773208,,1970-03-25T03:44:59.307925,,1972-07-28T02:37:29.343547,1973-03-01T07:21:00.118585
1970-06-15T18:52:24.811887 ~ 1970-06-15T19:08:47.302453,,1970-03-25T03:59:59.232453,,1971-05-12T19:29:54.825208,1973-05-14T00:44:50.812094
1970-06-26T19:52:24.116000 ~ 1970-06-26T20:12:27.587698,,1970-03-25T04:37:29.043774,,1974-07-11T09:07:27.604283,1973-01-31T00:54:59.613868
1970-07-20T04:30:00.487000 ~ 1970-07-20T05:15:20.336057,,1970-03-25T08:14:57.949434,,1971-02-09T03:52:29.009189,1974-03-25T17:11:34.635736
1970-09-26T20:07:24.073528 ~ 1970-09-26T20:07:23.318811,,1970-03-25T12:29:56.666415,,1972-07-17T21:59:53.542491,1971-05-13T03:09:06.296208
1970-10-24T11:59:56.881358 ~ 1970-10-24T11:41:21.107774,,1970-03-25T12:37:26.628679,,1974-02-12T08:44:57.758491,1974-04-08T08:47:13.439660
1970-11-12T12:30:00.700000 ~ 1970-11-12T13:01:56.322642,,1970-03-25T14:14:56.138113,,1972-07-28T05:30:00.136000,1971-10-18T15:31:16.039642
1970-12-11T07:37:28.024113 ~ 1970-12-11T07:35:05.382604,,1970-03-25T21:07:24.062642,,1970-03-25T04:37:29.043774,1972-12-03T02:48:15.646340
1970-12-27T19:59:54.479264 ~ 1970-12-27T20:40:38.554736,,1970-03-25T21:14:54.024906,,1971-10-20T19:00:00.425000,
1970-12-31T15:00:00.339000 ~ 1970-12-31T15:47:36.489943,,1970-03-26T06:29:58.602736,,1970-06-26T21:07:23.738642,
1971-01-15T12:00:00.258000 ~ 1971-01-15T12:51:47.276868,,1970-03-26T06:37:28.565000,,1971-03-25T15:29:55.471755,
1971-01-28T10:59:56.913245 ~ 1971-01-28T11:54:52.309472,,1970-03-26T09:37:27.659340,,1971-06-12T13:00:00.529000,
1971-01-29T18:14:54.684566 ~ 1971-01-29T18:31:01.627962,,1970-03-26T09:44:57.621604,,1971-04-13T12:42:45.971194,
1971-02-09T03:30:00.179000 ~ 1971-02-09T03:53:37.386547,,1970-03-26T20:44:54.300849,,1970-06-26T16:37:25.097132,
1971-03-25T15:00:00.151000 ~ 1971-03-25T15:30:41.962321,,1970-03-26T21:29:54.074434,,1971-06-12T11:00:00.529000,
1971-04-13T12:12:48.990062 ~ 1971-04-13T13:09:46.499496,,1970-03-26T21:37:24.036698,,1971-10-18T03:30:00.417000,
1971-04-17T06:30:00.387000 ~ 1971-04-17T07:11:25.368132,,1970-04-25T01:07:29.856377,,1973-07-03T18:30:00.532000,
1971-05-12T08:59:57.995019 ~ 1971-05-12T09:54:50.976151,,1970-04-25T01:29:59.743170,,1974-04-08T12:22:26.798151,
